KSA_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
KSA-PLA-03,Platform Security,Container Security,Scan container images for vulnerabilities and enforce pod security policies,Technical,"Container image scan results, security policy configs, vulnerability reports",Containers running in Azure should have vulnerability findings resolved,N/A,Container Security,Remediate vulnerabilities in containers
KSA-PLA-04,Platform Security,Serverless Security,Implement least-privilege and secure secret management for serverless functions,Technical,"Function app configs, Key Vault access policies, managed identity evidence",N/A,N/A,Application Security,Secure serverless functions
KSA-DAT-01,Data Security,Data Classification,Classify all data per NCA and NDMO sensitivity classification guidelines before cloud deployment,Operational,"Classification tags, sensitivity labels, classification policy evidence",N/A,N/A,Data Protection,Implement data classification
KSA-DAT-02,Data Security,Data Masking,Apply data masking and anonymization for non-production environments containing sensitive data,Technical,"Masking configs, test data policies, environment separation evidence",N/A,N/A,Data Protection,Implement data masking policies
KSA-DAT-03,Data Security,Data Residency,Store all data in compliant geographic regions per Saudi data localization requirements,Technical,"Region configs, storage account locations, data residency compliance reports",N/A,N/A,Data Sovereignty,Enforce data residency requirements
KSA-DAT-04,Data Security,Data Retention and Deletion,Enforce data retention policies and secure deletion procedures per NDMO data lifecycle standards,Operational,"Retention policies, deletion logs, lifecycle management evidence",N/A,N/A,Data Governance,Implement data retention policies
KSA-IAM-01,Identity & Access Management,Identity Federation,Implement federated identity with SSO capabilities aligned with national identity infrastructure,Technical,"SSO configs, federation trust relationships, identity provider evidence",N/A,N/A,Identity & Access Management,Configure identity federation
KSA-IAM-02,Identity & Access Management,Privileged Access Management,Implement just-in-time privileged access with approval workflows and comprehensive audit trails,Technical,"PIM configs, JIT access logs, approval workflow evidence",N/A,N/A,Identity & Access Management,Implement privileged identity management
KSA-IAM-03,Identity & Access Management,Service Account Management,Secure monitor and rotate service account credentials and managed identity configurations regularly,Technical,"Service principal configs, credential rotation logs, managed identity evidence",N/A,N/A,Identity & Access Management,Manage service identities securely
KSA-IAM-04,Identity & Access Management,Periodic Access Reviews,Conduct periodic access reviews and certifications for users with access to critical systems,Operational,"Review logs, access certification records, remediation evidence",N/A,N/A,Identity & Access Management,Conduct periodic access reviews
KSA-NET-01,Network Security,DDoS Protection,Enable DDoS protection for all internet-facing government and critical infrastructure services,Technical,"DDoS protection configs, mitigation logs, service coverage evidence",N/A,N/A,Network Security,Protect applications against DDoS attacks
KSA-NET-02,Network Security,Web Application Firewall,Deploy WAF with OWASP rules for all public-facing web applications and APIs,Technical,"WAF configs, OWASP rule sets, detection and prevention logs",N/A,N/A,Application Security,Deploy web application firewall
KSA-NET-03,Network Security,Private Connectivity,Use private endpoints for all PaaS services to eliminate public internet exposure,Technical,"Private endpoint inventory, private DNS configs, public access disabled evidence",App Configuration should use private link,ca610c1d-041c-4332-9d88-7ed3094967c7,Network Security,Secure cloud services with private endpoints
KSA-NET-04,Network Security,Network Monitoring,Implement comprehensive network traffic monitoring flow logging and threat analysis,Technical,"Flow logs, traffic analytics dashboards, network watcher configs",N/A,N/A,Network Security,Enable network monitoring
KSA-SEC-01,Security Operations,SIEM Integration,Centralize security logs to a SIEM for correlation alerting and incident investigation,Technical,"SIEM configs, log forwarding rules, workspace connection evidence",Enable logging by category group for resources to Log Analytics,N/A,Logging & Monitoring,Centralize security logs
KSA-SEC-02,Security Operations,Threat Intelligence,Integrate threat intelligence feeds and share indicators with national cybersecurity authorities,Technical,"Threat intel configs, NCA indicator sharing evidence, feed integration logs",N/A,N/A,Threat Protection,Enable threat intelligence
KSA-SEC-03,Security Operations,Security Automation,Automate security response and remediation for known threat patterns and policy violations,Technical,"Automation runbooks, Logic App playbooks, automated remediation evidence",N/A,N/A,Security Operations,Implement security automation
KSA-SEC-04,Security Operations,Vulnerability Management,Continuously scan and remediate vulnerabilities within NCA-mandated timelines,Technical,"Vulnerability scan reports, remediation tracking, patch compliance evidence",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Remediate vulnerabilities
KSA-COM-01,Compliance & Audit,Regulatory Mapping,Map controls to applicable Saudi frameworks including NCA CSCC NDMO and PDPL requirements,Management,"Control mapping matrices, compliance attestations, framework coverage evidence",N/A,N/A,Regulatory Compliance,Maintain compliance mappings
KSA-COM-02,Compliance & Audit,Audit Logging,Enable comprehensive audit logging for all administrative data access and configuration change events,Technical,"Audit configs, log retention evidence, administrative action logs",N/A,N/A,Logging & Monitoring,Enable audit logging
KSA-COM-03,Compliance & Audit,Compliance Reporting,Generate and maintain compliance reports and evidence packages for regulatory submission,Operational,"Compliance reports, dashboards, regulator submission evidence",N/A,N/A,Regulatory Compliance,Generate compliance reports
KSA-COM-04,Compliance & Audit,Third-Party Attestation,Obtain and maintain third-party certifications and attestations required by NCA for critical systems,Management,"Certification evidence, SOC reports, audit attestations",N/A,N/A,Compliance,Maintain security certifications
KSA-DR-01,Disaster Recovery,Backup and Recovery Strategy,Implement automated and tested backup and recovery procedures for all critical systems and data,Technical,"Backup configs, restore test records, RTO/RPO documentation",N/A,N/A,Business Continuity,Implement backup strategy
KSA-NDM-01,Data Management,Data Governance,Establish data governance authority define CDO and Data Steward roles and implement oversight policies per NDMO,Management,"Data governance charter, role designations, policy documentation",Audit usage of custom RBAC roles,a451c1ef-c6ca-483d-87ed-f49761e3ffb5,Regulatory Compliance,Implement NDMO data governance
KSA-NDM-02,Data Management,Data Catalog and Metadata,Maintain enterprise data catalog with metadata management lineage tracking and data discovery per NDMO,Management,"Data catalog evidence, lineage reports, metadata management procedures",N/A,N/A,Data Governance,Implement Microsoft Purview data catalog
KSA-NDM-03,Data Management,Data Quality,Define and enforce data quality standards for accuracy completeness consistency and timeliness,Operational,"Data quality metrics, validation procedures, quality monitoring evidence",N/A,N/A,Data Governance,Monitor data quality with Purview
KSA-NDM-04,Data Management,Data Architecture,Define enterprise data architecture aligned with Saudi e-Government technical standards,Management,"Architecture documentation, standards compliance evidence, design reviews",N/A,N/A,Regulatory Compliance,Align data architecture with NDMO
KSA-NDM-05,Data Management,Data Interoperability,Enable standardized data exchange between government entities using NDMO-approved standards,Technical,"Interoperability configs, API documentation, data exchange evidence",N/A,N/A,Regulatory Compliance,Implement NDMO interoperability standards
KSA-NDP-01,Data Privacy,Personal Data Protection,Protect personal data in compliance with Saudi PDPL and NDMO privacy standards,Management,"PDPL compliance records, privacy assessments, data protection evidence",N/A,N/A,Data Protection,Implement PDPL data protection controls
KSA-NDP-02,Data Privacy,Consent and Processing Basis,Obtain valid legal basis for all personal data processing including consent management mechanisms,Management,"Consent records, processing agreements, lawful basis documentation",N/A,N/A,Regulatory Compliance,Implement consent management
KSA-NDP-03,Data Privacy,Data Subject Rights,Implement mechanisms for data subjects to exercise access correction portability and deletion rights,Management,"Rights request procedures, fulfillment logs, subject rights evidence",N/A,N/A,Data Protection,Implement data subject rights procedures
KSA-NDS-01,Data Sharing,Authorized Data Sharing,Enable secure authorized data sharing between government entities per NDMO data sharing framework,Operational,"Sharing agreements, authorization evidence, exchange logs",N/A,N/A,Data Protection,Implement NDMO authorized sharing controls
KSA-NDS-02,Data Sharing,Data Sharing Agreements,Establish formal data sharing agreements defining responsibilities security requirements and usage restrictions,Management,"Signed agreements, security clauses, audit obligation records",N/A,N/A,Regulatory Compliance,Maintain data sharing agreements
