SAG_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
SAG-CLD-03,Cloud Architecture & Sovereignty,Local Key Management,Manage encryption keys within South African jurisdiction using government-approved key management services,Technical,"Key Vault location configs, key management policies, BYOK evidence",N/A,N/A,Data Protection,Implement local key management
SAG-CLD-04,Cloud Architecture & Sovereignty,Government Network Connectivity,Implement secure connectivity to government networks via approved VPN or ExpressRoute,Technical,"Network configs, VPN or ExpressRoute provisioning, GovNet connectivity evidence",N/A,N/A,Network Security,Secure government network connectivity
SAG-CLD-05,Cloud Architecture & Sovereignty,Sovereign Compute,Deploy compute resources exclusively in South African cloud regions,Technical,"VM and container location configs, resource deployment region reports",N/A,N/A,Compute Security,Deploy sovereign compute resources
SAG-CLD-06,Cloud Architecture & Sovereignty,Compliance with SA Laws,Ensure all cloud deployments comply with POPIA SITA Act and government IT legislation,Management,"Legal compliance assessments, legal reviews, regulatory mapping evidence",N/A,N/A,Regulatory Compliance,Maintain POPIA and SITA compliance
SAG-CLD-07,Cloud Architecture & Sovereignty,Local Support and Operations,Ensure cloud support and operations are provided from within South Africa,Operational,"Support contracts, operations center location evidence, staff location records",N/A,N/A,Governance & Compliance,Implement local operations
SAG-CLD-08,Cloud Architecture & Sovereignty,Background-Checked Personnel,Require security vetting and background checks for all personnel accessing government classified data,Management,"Background check records, security clearance levels, HR vetting procedures",N/A,N/A,Governance & Compliance,Verify personnel clearances
SAG-CLD-09,Cloud Architecture & Sovereignty,Incident Response Sovereignty,Implement incident response procedures using resources and personnel within South African boundaries,Operational,"IR procedures, local response team records, escalation contacts",N/A,N/A,Incident Response,Implement sovereign incident response
SAG-CLD-10,Cloud Architecture & Sovereignty,Sovereign Audit Logging,Provide comprehensive audit trails for government compliance within sovereign boundaries,Technical,"Audit logs, logging configs, Log Analytics workspace location, compliance reports",Enable logging by category group for resources to Log Analytics,N/A,Logging & Monitoring,Enable sovereign audit logging
SAG-CLD-11,Cloud Architecture & Sovereignty,Data Transfer Controls,Monitor and control all data transfers outside South African borders,Technical,"Data transfer policies, monitoring dashboards, cross-border transfer alerts",N/A,N/A,Data Protection,Monitor cross-border data transfers
SAG-CLD-12,Cloud Architecture & Sovereignty,Sovereign Backup and DR,Implement backup and disaster recovery within South African cloud regions,Technical,"Backup configs, DR site location evidence, RTO/RPO documentation",N/A,N/A,Business Continuity,Implement sovereign backup and DR
SAG-CLD-13,Cloud Architecture & Sovereignty,Technology Sovereignty,Assess and procure technology supporting South African sovereign cloud operations,Management,"Technology assessments, vendor reviews, procurement evidence",N/A,N/A,Governance & Compliance,Assess technology sovereignty
SAG-CLD-14,Cloud Architecture & Sovereignty,Cloud Exit Strategy,Implement data portability and cloud exit procedures to prevent vendor lock-in,Operational,"Exit procedures, data export capability evidence, portability testing records",N/A,N/A,Data Governance,Implement cloud exit strategy
SAG-NET-01,Network Security,Government Network Segmentation,Segment networks per government security classification levels using network security groups,Technical,"Network topology diagrams, NSG rule sets, segmentation evidence",Subnets should be associated with a Network Security Group,e71308d3-144b-4262-b144-efdc3cc90517,Network Security,Segment government networks
SAG-NET-02,Network Security,Secure Internet Gateway,Implement a secure internet gateway for government traffic with firewall and intrusion detection,Technical,"Gateway configs, firewall rules, IDS/IPS logs",N/A,N/A,Network Security,Secure internet gateway
SAG-NET-03,Network Security,Private Connectivity to Services,Use private endpoints for all government PaaS services to eliminate public internet exposure,Technical,"Private endpoint inventory, private DNS zone configs",App Configuration should use private link,ca610c1d-041c-4332-9d88-7ed3094967c7,Network Security,Implement private connectivity
SAG-NET-04,Network Security,Network Traffic Inspection,Inspect all network traffic for threats and policy violations using IDS/IPS and traffic analytics,Technical,"IDS/IPS configs, traffic analytics reports, threat detection logs",N/A,N/A,Network Security,Enable network traffic inspection
SAG-IAM-01,Identity & Access Management,Government Identity Federation,Federate government identity services with national digital identity infrastructure,Technical,"Federation configs, SSO trust relationships, identity provider evidence",N/A,N/A,Identity & Access Management,Configure government identity federation
SAG-IAM-02,Identity & Access Management,Multi-Factor Authentication,Enforce MFA for all government user access to cloud resources and administrative systems,Technical,"MFA enforcement configs, conditional access policies, authentication logs",Users must authenticate with multi-factor authentication to create or update resources,4e6c27d5-a6ee-49cf-b2b4-d8fe90fa2b8b,Identity & Access Management,Enforce MFA for government access
SAG-IAM-03,Identity & Access Management,Privileged Access Management,Implement PIM with just-in-time access for government administrators,Technical,"PIM configs, JIT access logs, approval workflows, access activation records",N/A,N/A,Identity & Access Management,Manage privileged government access
SAG-IAM-04,Identity & Access Management,Security Clearance Integration,Integrate government security clearance levels with role-based access controls,Technical,"RBAC role assignments, clearance attribute configs, access review evidence",N/A,N/A,Identity & Access Management,Integrate security clearances
SAG-DAT-01,Data Security,Government Data Classification,Classify government data per official classification schema (Unclassified Restricted Confidential Secret),Operational,"Classification schema documentation, data labeling evidence, classification reports",N/A,N/A,Data Protection,Classify government data
SAG-DAT-02,Data Security,Data Encryption,Encrypt government data at rest using customer-managed keys with government-approved algorithms,Technical,"Encryption configs, CMK evidence, key vault access policies",OS and data disks should be encrypted with a customer-managed key,702dd420-7fcc-42c5-afe8-4026edd20fe0,Data Protection,Encrypt classified data
SAG-DAT-03,Data Security,Data Sanitization,Implement secure data sanitization for all decommissioned or repurposed resources,Technical,"Sanitization procedures, verification certificates, disposal records",N/A,N/A,Data Protection,Implement data sanitization
SAG-DAT-04,Data Security,Government Records Management,Manage government records per national archives and records management requirements,Operational,"Records management policy, retention schedules, archival evidence",N/A,N/A,Data Governance,Implement records management
SAG-SEC-01,Security Operations,Government SOC,Establish or integrate with the Government SOC (GSOC) for centralized threat detection,Operational,"SOC procedures, integration configs, GSOC engagement records",N/A,N/A,Security Operations,Connect to government SOC
SAG-SEC-02,Security Operations,Threat Intelligence Sharing,Share threat intelligence with government agencies and the national CSIRT,Operational,"Threat intel sharing agreements, indicator feeds, sharing logs",N/A,N/A,Threat Protection,Share government threat intelligence
SAG-SEC-03,Security Operations,Security Event Correlation,Correlate security events across government systems using a unified SIEM solution,Technical,"SIEM configs, correlation rules, incident detection evidence",N/A,N/A,Logging & Monitoring,Correlate government security events
SAG-SEC-04,Security Operations,Vulnerability Management,Implement vulnerability management aligned with government-mandated patching schedules,Operational,"Vulnerability scan reports, patching schedules, remediation tracking",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Manage government vulnerabilities
SAG-GOV-01,Compliance & Governance,Government Compliance Framework,Adopt POPIA SITA Act PFMA and Public Service Regulation compliance frameworks,Management,"Framework adoption evidence, compliance mapping documentation, assessment reports",N/A,N/A,Regulatory Compliance,Implement government compliance framework
SAG-GOV-02,Compliance & Governance,POPIA Compliance Assurance,Ensure ongoing POPIA compliance including formal DPO designation and annual assessments,Management,"POPIA assessments, DPO designation letter, compliance reports",N/A,N/A,Regulatory Compliance,Maintain POPIA compliance
SAG-GOV-03,Compliance & Governance,Government Audit Requirements,Meet Public Audit Act and National Treasury audit and accountability requirements,Operational,"Audit reports, compliance evidence packages, regulator correspondence",N/A,N/A,Regulatory Compliance,Meet government audit requirements
SAG-GOV-04,Compliance & Governance,Change Management,Implement change management aligned with Public Service Regulation and government processes,Operational,"Change tickets, approval workflows, change advisory board records",N/A,N/A,Governance & Compliance,Implement government change management
SAG-BCM-01,Business Continuity,Critical Service Availability,Ensure high availability of critical government services within mandated SLA and uptime requirements,Technical,"HA configs, SLA monitoring reports, availability evidence",N/A,N/A,Business Continuity,Ensure critical service availability
SAG-BCM-02,Business Continuity,Government DR Requirements,Meet government disaster recovery requirements including defined RTOs and RPOs,Technical,"DR configs, RTO/RPO documentation, DR test reports",N/A,N/A,Business Continuity,Meet government DR requirements
SAG-BCM-03,Business Continuity,National Emergency Preparedness,Prepare for national emergency scenarios affecting government digital infrastructure,Operational,"Emergency procedures, continuity plans, emergency simulation records",N/A,N/A,Business Continuity,Implement emergency preparedness
SAG-BCM-04,Business Continuity,Service Restoration Priority,Define and implement priority-based restoration procedures for critical government services,Operational,"Priority matrix, restoration runbooks, test exercise records",N/A,N/A,Business Continuity,Prioritize service restoration
