Control_ID,Control_Domain,Control_Title,Control_Description
SAG-NET-04,Network Security,Network Traffic Inspection,Inspect all network traffic for threats and policy violations using IDS/IPS and network monitoring tools
SAG-IAM-01,Identity & Access Management,Government Identity Federation,Federate government identity services with national digital identity infrastructure
SAG-IAM-02,Identity & Access Management,Multi-Factor Authentication,Enforce MFA for all government user access to cloud resources and administrative systems
SAG-IAM-03,Identity & Access Management,Privileged Access Management,Implement privileged identity management including just-in-time access for government administrators
SAG-IAM-04,Identity & Access Management,Security Clearance Integration,Integrate government security clearance levels with role-based access controls for classified systems
SAG-DAT-01,Data Security,Government Data Classification,Classify government data according to the official classification schema (Unclassified, Restricted, Confidential, Secret)
SAG-DAT-02,Data Security,Data Encryption,Encrypt government data at rest using customer-managed keys with government-approved encryption algorithms
SAG-DAT-03,Data Security,Data Sanitization,Implement secure data sanitization procedures for all decommissioned or repurposed storage and computing resources
SAG-DAT-04,Data Security,Government Records Management,Manage government records in compliance with national archives and records management requirements
SAG-SEC-01,Security Operations,Government SOC,Establish or integrate with the Government Security Operations Centre (GSOC) for centralized threat detection and response
SAG-SEC-02,Security Operations,Threat Intelligence Sharing,Share cyber threat intelligence with government agencies and the national Computer Security Incident Response Team (CSIRT)
SAG-SEC-03,Security Operations,Security Event Correlation,Correlate security events across government systems using a unified SIEM solution
SAG-SEC-04,Security Operations,Vulnerability Management,Implement systematic vulnerability management in alignment with government-mandated patching schedules
SAG-GOV-01,Compliance & Governance,Government Compliance Framework,Adopt government-mandated compliance frameworks including POPIA, SITA Act, Public Finance Management Act (PFMA), and Public Service Regulations
SAG-GOV-02,Compliance & Governance,POPIA Compliance Assurance,Ensure ongoing compliance with the Protection of Personal Information Act including designation of a Data Protection Officer
SAG-GOV-03,Compliance & Governance,Government Audit Requirements,Meet government audit and accountability requirements under the Public Audit Act and National Treasury regulations
SAG-GOV-04,Compliance & Governance,Change Management,Implement change management procedures aligned with government processes and Public Service Regulation requirements
SAG-BCM-01,Business Continuity,Critical Service Availability,Ensure high availability of critical government services within government-mandated SLA and uptime requirements
SAG-BCM-02,Business Continuity,Government DR Requirements,Meet government disaster recovery requirements including defined Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs)
SAG-BCM-03,Business Continuity,National Emergency Preparedness,Prepare for national emergency scenarios affecting government digital infrastructure and cloud services
SAG-BCM-04,Business Continuity,Service Restoration Priority,Define and implement priority-based restoration procedures for critical government services during disasters
