SAMA_Domain,SAMA_Control_ID,SAMA_Control_Description,Azure_Microsoft_Control,Policy_Feature_ID,Alert_Capability,Implementation_Priority,Licensing_Required,Implementation_Complexity,Estimated_Days,AI_Service
3.3.6,3.3.6.AI.4,AI API security,Azure API Management - AI endpoints,API authentication and throttling,AI API abuse detected,High,API Management,High,30,AI Foundry
3.3.6,3.3.6.AI.5,AI model security,AI Foundry - Model encryption,Model encryption at rest,Unencrypted models,Critical,AI Foundry,Medium,15,AI Foundry
3.3.6,3.3.6.AI.6,Secure AI deployment,AI Foundry - Deployment approvals,Deployment approval gates,Unapproved AI deployments,Critical,Azure DevOps,Medium,20,AI Foundry
3.3.6,3.3.6.AI.7,Copilot extensibility security,Microsoft Graph - Copilot connectors,Copilot plugin security,Malicious plugins detected,High,Microsoft 365 E5,High,30,M365 Copilot
3.3.8,3.3.8.AI.1,AI network segmentation,Azure VNet - Private endpoints,AI private networking,Public AI endpoints detected,Critical,Azure Networking,High,30,AI Foundry
3.3.8,3.3.8.AI.2,AI workload protection,Defender for Cloud - AI workload plan,AI infrastructure monitoring,AI infrastructure threats,Critical,Defender for Cloud,Medium,15,Both
3.3.8,3.3.8.AI.3,AI malware protection,Defender for Containers - AI containers,Container malware scanning,AI container malware,High,Defender for Cloud,Medium,20,AI Foundry
3.3.8,3.3.8.AI.4,AI DDoS protection,Azure DDoS - AI endpoints,DDoS mitigation for AI,AI service DDoS attack,High,Azure DDoS Standard,Medium,15,AI Foundry
3.3.8,3.3.8.AI.5,AI encryption at rest,Azure Storage - CMK for AI,Customer-managed keys,AI data not encrypted,Critical,Azure Key Vault,High,30,Both
3.3.8,3.3.8.AI.6,AI encryption in transit,TLS 1.3 - AI connections,Transport encryption enforcement,Weak AI transport encryption,Critical,Azure Networking,Low,5,Both
3.3.8,3.3.8.AI.7,Copilot client protection,Defender for Endpoint - M365 apps,Endpoint AI threat detection,AI malware on endpoints,High,Microsoft 365 E5,Medium,15,M365 Copilot
3.3.9,3.3.9.AI.1,AI data encryption,Azure Key Vault - AI CMK,Customer-managed key for AI,AI key rotation required,Critical,Azure Key Vault,High,30,Both
3.3.9,3.3.9.AI.2,AI key lifecycle management,Key Vault - Automated rotation,90-day key rotation,Expired AI keys,Critical,Azure Key Vault,Medium,15,Both
3.3.9,3.3.9.AI.3,AI secrets management,Key Vault - AI credentials,Managed identity for AI,Hardcoded AI credentials,Critical,Azure Key Vault,Medium,10,Both
3.3.9,3.3.9.AI.4,Copilot double key encryption,Purview - DKE for Copilot,Double Key Encryption,DKE-protected data access,High,Microsoft 365 E5,High,45,M365 Copilot
3.3.13,3.3.13.AI.1,AI chatbot security,AI Foundry - Agent safety controls,Agent content moderation,Unsafe agent responses,Critical,AI Foundry,High,30,AI Foundry
3.3.13,3.3.13.AI.2,AI customer-facing security,Azure AI Content Safety,Public AI safety filters,Customer-facing AI violations,Critical,Azure AI Services,Medium,20,Both
3.3.13,3.3.13.AI.3,AI fraud detection,AI Foundry - Anomaly detection,AI-based fraud models,Anomalous AI patterns,High,AI Foundry,High,45,AI Foundry
3.3.13,3.3.13.AI.4,AI authentication in apps,Entra ID - AI app SSO,AI application MFA,Failed AI app auth,Critical,Azure AD Premium,Medium,15,Both
3.3.13,3.3.13.AI.5,Copilot customer data protection,Purview - Customer data policies,Copilot customer DLP,Customer data in Copilot,Critical,Microsoft 365 E5,High,30,M365 Copilot
3.3.14,3.3.14.AI.1,AI event logging,Azure Monitor - AI Foundry logs,AI diagnostic settings,AI logging gaps,Critical,Azure Monitor,Medium,15,Both
3.3.14,3.3.14.AI.2,AI SIEM integration,Microsoft Sentinel - AI connectors,Sentinel AI data connectors,AI security event ingestion,Critical,Microsoft Sentinel,High,30,Both
3.3.14,3.3.14.AI.3,AI anomaly detection,Defender for Cloud - AI anomalies,AI behavior analytics,Unusual AI activity,High,Defender for Cloud,Medium,20,Both
3.3.14,3.3.14.AI.4,AI performance monitoring,Azure Monitor - AI metrics,AI latency and error metrics,AI performance degradation,Medium,Azure Monitor,Low,10,AI Foundry
3.3.14,3.3.14.AI.5,Copilot audit logging,Purview Audit - Copilot logs,Copilot interaction logging,Copilot audit retention,Critical,Microsoft 365 E5,Low,10,M365 Copilot
3.3.14,3.3.14.AI.6,Copilot usage analytics,Microsoft 365 - Copilot analytics,Usage reporting dashboards,Abnormal Copilot usage,Medium,Microsoft 365,Low,5,M365 Copilot
3.3.15,3.3.15.AI.1,AI incident response,Defender XDR - AI incidents,AI incident playbooks,AI security incidents,Critical,Microsoft 365 E5,High,45,Both
3.3.15,3.3.15.AI.2,AI breach notification,Security Center - AI alerts,SAMA notification workflow,Critical AI breaches,Critical,Custom automation,Medium,20,Both
3.3.15,3.3.15.AI.3,AI forensics,Azure Monitor - AI audit trails,AI investigation queries,AI compromise evidence,Critical,Azure Monitor,High,30,Both
3.3.15,3.3.15.AI.4,AI incident reporting to SAMA,Custom workflow - Compliance reporting,SAMA incident submission,High-severity AI incidents,Critical,Custom development,High,30,Both
3.3.15,3.3.15.AI.5,Copilot incident management,Purview - Copilot incident handling,Copilot security playbooks,Copilot security events,High,Microsoft 365 E5,Medium,20,M365 Copilot
3.3.16,3.3.16.AI.1,AI threat intelligence,Defender TI - AI threats,AI attack pattern tracking,Emerging AI threats,High,Defender TI,Medium,15,Both
3.3.16,3.3.16.AI.2,Prompt injection detection,AI Content Safety - Jailbreak detection,Prompt attack analytics,Jailbreak attempts,Critical,Azure AI Services,Medium,20,Both
3.3.16,3.3.16.AI.3,Model poisoning detection,AI Foundry - Model integrity,Model validation checks,Compromised model training,High,AI Foundry,High,45,AI Foundry
3.3.16,3.3.16.AI.4,AI adversarial attack detection,Azure AI Content Safety,Adversarial input filtering,Evasion attempts detected,High,Azure AI Services,High,30,Both
3.3.16,3.3.16.AI.5,Shadow AI detection,Defender for Cloud Apps - AI discovery,Unsanctioned AI app usage,Shadow AI tools detected,High,Microsoft 365 E5,Medium,20,Both
3.3.16,3.3.16.AI.6,Copilot threat analysis,Microsoft Security Copilot,AI-assisted threat hunting,AI-powered threat insights,Medium,Security Copilot,Low,Ongoing,M365 Copilot
3.3.17,3.3.17.AI.1,AI vulnerability scanning,Defender for Cloud - AI CVE detection,AI-specific vulnerabilities,Critical AI vulnerabilities,Critical,Defender for Cloud,Medium,Ongoing,Both
3.3.17,3.3.17.AI.2,AI dependency scanning,Defender for DevOps - Supply chain,AI library vulnerabilities,Vulnerable AI dependencies,High,Defender for Cloud,High,30,AI Foundry
3.3.17,3.3.17.AI.3,AI model vulnerabilities,AI Foundry - Model security assessment,Model vulnerability scanning,Model security issues,Critical,AI Foundry,High,45,AI Foundry
3.3.17,3.3.17.AI.4,AI API vulnerabilities,API Management - Security assessment,API vulnerability testing,AI API security gaps,High,API Management,High,30,AI Foundry
3.3.17,3.3.17.AI.5,AI patch management,Azure Update Manager - AI infrastructure,AI infrastructure patching,Unpatched AI systems,Critical,Azure Update Manager,Medium,Ongoing,Both
3.3.17,3.3.17.AI.6,Copilot update management,Microsoft 365 - Auto-updates,Copilot version tracking,Outdated Copilot versions,Medium,Microsoft 365,Low,Automatic,M365 Copilot
3.4.1,3.4.1.AI.1,AI vendor assessment,AI Foundry - Model provider evaluation,Third-party AI vendor reviews,Unapproved AI vendors,High,Documentation,High,60,AI Foundry
3.4.1,3.4.1.AI.2,AI SLA requirements,Azure SLA - AI services,AI service availability SLAs,AI SLA violations,High,Azure subscription,Low,5,AI Foundry
3.4.1,3.4.1.AI.3,Copilot SLA tracking,Microsoft 365 - Copilot SLA,Copilot uptime monitoring,Copilot outages,Medium,Microsoft 365,Low,Ongoing,M365 Copilot
3.4.3,3.4.3.AI.1,AI cloud policy,Azure Policy - AI cloud restrictions,AI data location policies,AI data residency violations,Critical,Azure Policy,High,30,Both
3.4.3,3.4.3.AI.2,AI data location enforcement,AI Foundry - Saudi regions,Region restriction policies,AI data outside Saudi Arabia,Critical,Azure Policy,Medium,15,Both
3.4.3,3.4.3.AI.3,AI data sovereignty,Azure Policy - Data residency,Geographic restrictions,Data sovereignty violations,Critical,Azure Policy,Medium,20,Both
3.4.3,3.4.3.AI.4,AI exit strategy,Azure - Data export procedures,AI data portability,N/A,High,Documentation,Medium,15,Both
3.4.3,3.4.3.AI.5,Copilot data residency,Microsoft 365 - EU Data Boundary,Copilot data location,Data residency verification,Critical,Microsoft 365 E5,Medium,20,M365 Copilot
3.4.3,3.4.3.AI.6,Copilot extensibility governance,Microsoft Graph - Plugin management,Approved Copilot plugins only,Unapproved plugin usage,High,Microsoft 365,High,30,M365 Copilot
