OMN_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
OMN-IAM-04,Identity & Access Control,Least Privilege Access,Implement least privilege for all access to data and cloud resources,Technical,"JIT access configs, management port status, access review evidence",Just-In-Time network access control should be applied on virtual machines,1f314764-cb73-4fc9-b863-8eca98ac36e9,Identity & Access Management,Implement least privilege access controls
OMN-IAM-04,Identity & Access Control,Least Privilege Access,Implement least privilege for all access to data and cloud resources,Technical,"Management port closure evidence, network access control configs",Management ports should be closed on your virtual machines,0b15565f-aa9e-48ba-8619-45960f2c314d,Network Security,Close management ports as part of least privilege
OMN-DLP-01,Data Protection & Privacy,Cloud Data Loss Prevention,Enable DLP capabilities across all cloud applications to prevent data exfiltration,Operational,"Private link configs, DLP policy evidence, data exfiltration monitoring logs",App Configuration should use private link,ca610c1d-041c-4332-9d88-7ed3094967c7,Data Protection,Enable private link for App Configuration
OMN-DLP-01,Data Protection & Privacy,Cloud Data Loss Prevention,Enable DLP capabilities across all cloud applications to prevent data exfiltration,Operational,"Cognitive services private link configs, network access restrictions",Cognitive Services should use private link,55d1f543-d1b0-4811-9663-d6d0dbc6326d,Data Protection,Enable private link for Cognitive Services
OMN-END-01,Endpoint Protection,Antivirus and Antimalware,Configure antivirus and antimalware protection for all servers and user devices,Technical,"Antimalware extension status, endpoint protection coverage, scan logs",Microsoft Antimalware extension should be deployed on Windows servers,013e242c-8828-4970-87b3-ab247555486d,Endpoint Security,Deploy antimalware on Windows servers
OMN-END-01,Endpoint Protection,Antivirus and Antimalware,Configure antivirus and antimalware protection for all servers and user devices,Technical,"Endpoint protection solution status, VM protection coverage",Endpoint protection solution should be installed on virtual machines,ac076320-ddcf-4066-b451-6154267e8ad2,Endpoint Security,Install endpoint protection on VMs
OMN-END-01,Endpoint Protection,Antivirus and Antimalware,Configure antivirus and antimalware protection for all servers and user devices,Technical,"Vulnerability assessment status on VMs, Defender for Servers coverage",Vulnerability assessment should be enabled on your virtual machines,e96a9a5f-07ca-471b-9bc5-6a0f33cbd68f,Posture Management,Enable vulnerability assessment on VMs
OMN-VUL-01,Vulnerability Management,Patch Management,Implement systematic patch management for all operating systems and applications,Technical,"Patch compliance reports, update manager configs, patching schedule evidence",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Remediate missing system updates
OMN-VUL-01,Vulnerability Management,Patch Management,Implement systematic patch management for all operating systems and applications,Technical,"Azure Update Manager configs, update compliance evidence",System updates should be installed on your machines (powered by Azure Update Manager),8e86a5b6-b9bd-49d1-8e21-4bb8a0862222,Vulnerability Management,Enable Azure Update Manager
OMN-BCM-01,Business Continuity & DR,Backup and Recovery,Implement automated backup and recovery for all critical cloud-hosted data and services,Operational,"Backup configs, restore test records, geo-redundancy evidence, Recovery Services Vault configs",Azure Backup should be enabled for Virtual Machines,09024ccc-0c5f-475e-9457-b7c0d9ed487b,Business Continuity,Enable Azure Backup for VMs
OMN-BCM-01,Business Continuity & DR,Backup and Recovery,Implement automated backup and recovery for all critical cloud-hosted data and services,Operational,"Recovery Services Vault soft delete config, backup retention evidence",Soft delete should be enabled for Recovery Services Vaults,013e242c-8828-4970-87b3-ab247555486d,Business Continuity,Enable soft delete for Recovery Services Vaults
OMN-BCM-01,Business Continuity & DR,Backup and Recovery,Implement automated backup and recovery for all critical cloud-hosted data and services,Operational,"SQL Database geo-backup configs, long-term backup retention evidence",Long-term geo-redundant backup should be enabled for Azure SQL Databases,22bee202-a82f-4305-9a2a-6d7f44d4dedb,Business Continuity,Enable geo-redundant backup for SQL Databases
OMN-INC-01,Incident Response,Cyber Incident Response Plan,Establish and maintain a documented cyber incident response plan for cloud environments,Operational,"Incident response plan documentation, playbooks, tabletop exercise records",N/A - Requires documented incident response procedures,N/A,Incident Response,Implement incident response procedures with Microsoft Sentinel
OMN-GOV-01,Cybersecurity Governance,Data Classification Prerequisite,Establish data classification as a foundational prerequisite before cloud deployment,Management,"Data classification policy, classification program evidence, pre-deployment review records",Sensitive data in your SQL databases should be classified,0b60c0b2-2dc2-4e1c-b5c9-abbed971de53,Data Protection,Implement data classification program
OMN-GOV-02,Cybersecurity Governance,CDC Policy Compliance,Maintain overall compliance with Oman Cyber Defense Centre cloud security policies,Management,"CDC compliance assessment reports, policy compliance evidence, audit records",N/A - Overall policy compliance monitoring,N/A,Regulatory Compliance,Monitor CDC policy compliance via Azure Policy
