CCC_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
CCC-IAM-04,Identity & Access,Access Review,Conduct periodic access reviews and certifications,Operational,"Review logs, recertification evidence",N/A,N/A,Identity & Access Management,Conduct periodic access reviews
CCC-Net-01,Network Security,DDoS Protection,Enable DDoS protection for internet-facing services,Technical,"DDoS configs, mitigation logs",N/A,N/A,Network Security,Protect applications against DDoS attacks
CCC-Net-02,Network Security,Web Application Firewall,Deploy WAF for web applications with OWASP rules,Technical,"WAF configs, rule sets",N/A,N/A,Application Security,Deploy web application firewall
CCC-Net-03,Network Security,Private Connectivity,Use private endpoints for PaaS services,Technical,"Private endpoint inventory, DNS configs",App Configuration should use private link,ca610c1d-041c-4332-9d88-7ed3094967c7,Network Security,Secure cloud services with private endpoints
CCC-Net-04,Network Security,Network Monitoring,Implement network traffic monitoring and analysis,Technical,"Flow logs, traffic analytics",N/A,N/A,Network Security,Enable network monitoring
CCC-Sec-01,Security Operations,SIEM Integration,Centralize logs to SIEM for correlation and alerting,Technical,"SIEM configs, log forwarding",Enable logging by category group for resources to Log Analytics,N/A,Logging & Monitoring,Centralize security logs
CCC-Sec-02,Security Operations,Threat Intelligence,Integrate threat intelligence feeds,Technical,"Threat intel configs, indicators",N/A,N/A,Threat Protection,Enable threat intelligence
CCC-Sec-03,Security Operations,Security Automation,Automate security response and remediation,Technical,"Automation runbooks, playbooks",N/A,N/A,Security Operations,Implement security automation
CCC-Sec-04,Security Operations,Vulnerability Scanning,Continuously scan for vulnerabilities,Technical,"Scan reports, remediation tracking",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Remediate vulnerabilities
CCC-Comp-01,Compliance,Regulatory Mapping,Map controls to applicable regulatory frameworks,Management,"Control matrices, attestations",N/A,N/A,Regulatory Compliance,Maintain compliance mappings
CCC-Comp-02,Compliance,Audit Logging,Enable comprehensive audit logging,Technical,"Audit configs, log retention",N/A,N/A,Logging & Monitoring,Enable audit logging
CCC-Comp-03,Compliance,Compliance Reporting,Generate compliance reports and evidence,Operational,"Compliance reports, dashboards",N/A,N/A,Regulatory Compliance,Generate compliance reports
CCC-Comp-04,Compliance,Third-Party Attestation,Obtain and maintain third-party certifications,Management,"Certification evidence, SOC reports",N/A,N/A,Compliance,Maintain security certifications
CCC-DR-01,Disaster Recovery,Backup Strategy,Implement automated backup for critical systems,Technical,"Backup configs, restore tests",N/A,N/A,Business Continuity,Implement backup strategy
CCC-DR-02,Disaster Recovery,Geographic Redundancy,Deploy resources across multiple regions,Technical,"Regional deployment configs, failover plans",N/A,N/A,Business Continuity,Enable geographic redundancy
CCC-DR-03,Disaster Recovery,Recovery Testing,Regularly test disaster recovery procedures,Operational,"DR test results, runbooks",N/A,N/A,Business Continuity,Test disaster recovery
CCC-DR-04,Disaster Recovery,RTO/RPO Definition,Define and monitor RTO/RPO for critical services,Management,"RTO/RPO docs, monitoring dashboards",N/A,N/A,Business Continuity,Monitor RTO/RPO metrics
