CDC_Control_ID,Control_Domain,Control_Title,Control_Type,Azure_Policy_Name,Azure_Policy_ID,Azure_Service,Implementation_Status
CDC-CON-07,Logging & Monitoring,Audit Log Platform and Retention,Technical,Activity log should be retained for at least one year,b79fa14e-238a-4c2d-b376-442ce508fc84,Activity Log,Automated
CDC-CON-08,AI Governance,Prohibition on AI Training with Customer Data,Contractual,N/A - Provider AI training restrictions,N/A,Azure OpenAI,Manual
CDC-CON-09,Third-Party Security,Training and Knowledge Transfer,Contractual,N/A - Provider training requirements,N/A,Microsoft Learn,Manual
CDC-CON-10,Third-Party Security,Provider Certifications,Contractual,N/A - Verification of ISO/SOC certifications,N/A,Microsoft Trust Center,Manual
CDC-CON-11,Third-Party Security,Subcontractor Compliance,Contractual,N/A - Subcontractor compliance requirements,N/A,N/A,Manual
CDC-CON-12,Third-Party Security,Support Staff Privacy,Contractual,N/A - Support staff requirements,N/A,Customer Lockbox,Manual
CDC-CON-13,Business Continuity & DR,Contract Termination and Migration,Contractual,N/A - Contract termination procedures,N/A,N/A,Manual
CDC-CON-14,Data Protection & Privacy,Data Ownership and Retrieval,Contractual,N/A - Data ownership and retrieval requirements,N/A,N/A,Manual
CDC-CON-15,Third-Party Security,Service Level Agreement,Contractual,N/A - SLA requirements,N/A,N/A,Manual
CDC-CON-16,Data Protection & Privacy,Data Destruction Procedures,Contractual,N/A - Data destruction requirements,N/A,N/A,Manual
CDC-CON-17,Third-Party Security,Data Residency Compliance,Contractual,Allowed locations for resources,e56962a6-4747-49cd-b67b-bf8b01975c4c,Azure Policy,Automated
CDC-REQ-ISO27001,Third-Party Security,ISO 27001 Certification,Contractual,N/A - Provider certification verification,N/A,Microsoft Trust Center,Manual
CDC-REQ-ISO27002,Third-Party Security,ISO 27002 Compliance,Contractual,N/A - Provider compliance verification,N/A,Microsoft Trust Center,Manual
CDC-REQ-ISO27017,Third-Party Security,ISO 27017 Certification,Contractual,N/A - Provider certification verification,N/A,Microsoft Trust Center,Manual
CDC-REQ-ISO27018,Third-Party Security,ISO 27018 Certification,Contractual,N/A - Provider certification verification,N/A,Microsoft Trust Center,Manual
CDC-REQ-ISO22237,Third-Party Security,ISO 22237 Certification,Contractual,N/A - Data center certification verification,N/A,Microsoft Trust Center,Manual
CDC-REQ-SOC2,Third-Party Security,SOC 2 Type II Report,Contractual,N/A - Provider SOC 2 report verification,N/A,Microsoft Trust Center,Manual
