SAMA_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
SAMA-NS-04,Network Security,Secure protocols,"Require TLS 1.2+, enforce HTTPS-only, and disable insecure ciphers.",Technical,"TLS config, policy reports",N/A,N/A,Data Protection,Encrypt data in transit - Enforce TLS 1.2+ encryption
SAMA-DP-01,Data Protection & Privacy,Data classification,"Classify data, apply labels, and enforce protection policies by sensitivity.",Operational,"Purview classifications, label taxonomy",N/A,N/A,Data Protection,Implement data classification and labeling
SAMA-DP-02,Data Protection & Privacy,Encryption at rest & transit,Encrypt data at rest with CMK where required; enforce TLS in transit.,Technical,"Key configs, TLS settings",PostgreSQL servers should use customer-managed keys to encrypt data at rest,18adea5e-f416-4d0f-8aa8-d24321e3e274,Data Protection,Enable encryption at rest and in transit
SAMA-DP-03,Data Protection & Privacy,Data loss prevention,Apply DLP across channels; monitor and block sensitive data exfiltration.,Operational,DLP policies and incidents,N/A,N/A,Data Protection,Implement data loss prevention policies
SAMA-DP-04,Data Protection & Privacy,Backup & recovery,"Back up critical data, validate restorability, and protect backup immutability.",Operational,"Backup policy, restore tests",N/A,N/A,Data Protection,Implement backup and recovery strategies
SAMA-LM-01,Logging & Monitoring,Centralized logging,Enable diagnostic logs and forward to a central SIEM/Log Analytics.,Technical,Diagnostic settings evidence,Enable logging by category group for Log Analytics workspaces to Log Analytics,818719e5-1338-4776-9a9d-3c31e4df5986,Logging & Monitoring,Enable auditing and logging
SAMA-LM-02,Logging & Monitoring,Security monitoring,Enable cloud workload posture monitoring and real-time alerts.,Operational,Defender for Cloud dashboards,N/A,N/A,Posture Management,Enable enhanced security features - Microsoft Defender for Cloud
SAMA-LM-03,Logging & Monitoring,Retention & audit,"Define log retention, audit coverage, and tamper-evident storage.",Operational,"Retention policies, audit reports",N/A,N/A,Logging & Monitoring,Enable auditing and logging with retention policies
SAMA-VM-01,Vulnerability Management,Patch & vulnerability assessment,"Continuously assess and patch VMs, containers, databases, and apps.",Operational,"Scanner reports, patch status",System updates should be installed on your machines (powered by Azure Update Manager),e1145ab1-eb4f-43d8-911b-36ddf771d13f,Vulnerability Management,Apply system updates and remediate vulnerabilities
SAMA-SD-01,Secure Development & Change,Secure SDLC,"Threat modeling, code scanning, dependency management (SBOM), and secure builds.",Operational,"DevSecOps pipelines, scan results",N/A,N/A,Application Security,Implement secure development lifecycle
SAMA-SD-02,Secure Development & Change,Change control,"Formal change approval, peer review, and rollback strategies.",Operational,"CAB minutes, change tickets",N/A,N/A,Governance & Compliance,Implement security best practices
SAMA-AI-01,AI Governance,Model risk management,"Assess model risks, document intended use, and test for harmful behavior.",Management,"AI risk assessment, red-team reports",N/A,N/A,AI Governance,Implement AI governance and risk management
SAMA-AI-02,AI Governance,Data governance for AI,"Control prompts/responses, apply DLP, and safeguard training/grounding data.",Operational,Purview AI governance artifacts,N/A,N/A,AI Governance,Implement data governance for AI workloads
SAMA-AI-03,AI Governance,AI workload isolation,"Place AI services in private networks, restrict outbound, and protect secrets.",Technical,"Private endpoints, egress allowlists",Cognitive Services should use private link,55d1f543-d1b0-4811-9663-d6d0dbc6326d,Network Security,Secure AI services with private endpoints
SAMA-AI-04,AI Governance,Customer support access control,Require Customer Lockbox and no data persistence for sensitive AI workloads.,Management,Lockbox enabled evidence,N/A,N/A,Data Protection,Enable Customer Lockbox for Azure
SAMA-M365-01,Productivity AI (Copilot),Sensitive data protection in Copilot,Ensure DLP and sensitivity labels protect data used by Copilot; restrict summarization of highly confidential items.,Operational,"DLP policies, label usage",N/A,N/A,Data Protection,Implement sensitivity labels and DLP for Copilot
SAMA-M365-02,Productivity AI (Copilot),Audit & retention of AI interactions,Enable auditing and retention for Copilot interactions and outputs as applicable.,Operational,"Audit logs, retention policies",N/A,N/A,Logging & Monitoring,Enable auditing for Copilot interactions
SAMA-M365-03,Productivity AI (Copilot),eDiscovery & legal hold,Include AI-generated content and interactions in eDiscovery and legal hold.,Operational,"eDiscovery cases, holds",N/A,N/A,Compliance,Implement eDiscovery and legal hold policies
SAMA-M365-04,Productivity AI (Copilot),Communication compliance,Monitor Copilot usage for inappropriate or noncompliant content.,Operational,Comm Compliance policies,N/A,N/A,Compliance,Monitor communication compliance
