ADHICS_ID,Domain,Control_Name,Requirement_Summary,Control_Type,Evidence_Examples,Azure_Policy_Name,Azure_Policy_ID,Defender_Control,Defender_Recommendation
ADHICS-App-03,Application Security,Medical Imaging Security,Secure medical imaging systems (PACS/DICOM) with encryption and access controls,Technical,"PACS configs, DICOM security",N/A,N/A,Data Protection,Secure medical imaging
ADHICS-App-04,Application Security,Laboratory Information System Security,Implement security controls for laboratory information systems,Technical,"LIS configs, access controls",N/A,N/A,Application Security,Secure laboratory systems
ADHICS-Dev-01,Medical Device Security,Medical Device Inventory,Maintain inventory of all connected medical devices,Operational,"Device inventory, asset management",N/A,N/A,Asset Management,Maintain medical device inventory
ADHICS-Dev-02,Medical Device Security,Medical Device Patch Management,Implement patch management for medical devices with vendor coordination,Operational,"Patch schedules, vendor communications",N/A,N/A,Vulnerability Management,Patch medical devices
ADHICS-Dev-03,Medical Device Security,Medical Device Monitoring,Monitor medical device security events and anomalies,Technical,"Monitoring configs, alerts",N/A,N/A,Threat Protection,Monitor medical devices
ADHICS-Dev-04,Medical Device Security,Medical Device Incident Response,Implement incident response procedures for medical device security events,Operational,"IR procedures, device-specific runbooks",N/A,N/A,Incident Response,Respond to medical device incidents
ADHICS-Data-01,Data Management,Healthcare Data Classification,Classify healthcare data by sensitivity and regulatory requirements,Operational,"Classification schema, data inventory",N/A,N/A,Data Protection,Classify healthcare data
ADHICS-Data-02,Data Management,Clinical Data Retention,Define retention periods for clinical data per regulatory requirements,Operational,"Retention policies, compliance docs",N/A,N/A,Data Governance,Implement clinical data retention
ADHICS-Data-03,Data Management,Research Data De-identification,Implement de-identification for research data use,Technical,"De-identification configs, validation",N/A,N/A,Data Protection,De-identify research data
ADHICS-Data-04,Data Management,Healthcare Data Backup,Implement backup and recovery for critical healthcare data,Technical,"Backup configs, restore tests",N/A,N/A,Business Continuity,Backup healthcare data
ADHICS-Comp-01,Compliance,HIPAA Compliance,Maintain HIPAA compliance for PHI handling,Management,"HIPAA assessments, compliance reports",N/A,N/A,Regulatory Compliance,Maintain HIPAA compliance
ADHICS-Comp-02,Compliance,Healthcare Audit Logging,Implement comprehensive audit logging per healthcare regulations,Technical,"Audit configs, log retention",N/A,N/A,Logging & Monitoring,Enable healthcare audit logging
ADHICS-Comp-03,Compliance,Breach Notification,Implement procedures for healthcare data breach notification,Operational,"Breach procedures, notification templates",N/A,N/A,Incident Response,Implement breach notification
ADHICS-Comp-04,Compliance,Patient Privacy Rights,Implement processes for patient privacy rights (access, correction, deletion),Operational,"Privacy procedures, request tracking",N/A,N/A,Data Privacy,Support patient privacy rights
ADHICS-BC-01,Business Continuity,Clinical System Availability,Ensure high availability for critical clinical systems,Technical,"HA configs, uptime monitoring",N/A,N/A,Business Continuity,Ensure clinical system availability
ADHICS-BC-02,Business Continuity,Emergency Access Procedures,Implement emergency access procedures for clinical systems,Operational,"Break-glass procedures, audit logs",N/A,N/A,Identity & Access Management,Implement emergency access
ADHICS-BC-03,Business Continuity,Disaster Recovery for Healthcare,Test disaster recovery for healthcare systems regularly,Operational,"DR test results, recovery procedures",N/A,N/A,Business Continuity,Test healthcare DR
ADHICS-BC-04,Business Continuity,Clinical System Failover,Implement failover capabilities for critical clinical systems,Technical,"Failover configs, geographic redundancy",N/A,N/A,Business Continuity,Implement clinical failover
